PeriodStart,Cost
2024-09-20,100.0
2024-09-21,100.5
2024-09-22,101.0
2024-09-23,101.5
2024-09-24,102.0
2024-09-25,102.5
2024-09-26,103.0
2024-09-27,103.5
2024-09-28,104.0
2024-09-29,104.5
2024-09-30,105.0
2024-10-01,105.5
2024-10-02,106.0
2024-10-03,106.5
2024-10-04,107.0
2024-10-05,107.5
2024-10-06,108.0
2024-10-07,108.5
2024-10-08,109.0
2024-10-09,109.5
2024-10-10,110.0
2024-10-11,110.5
2024-10-12,111.0
2024-10-13,111.5
2024-10-14,112.0
2024-10-15,112.5
2024-10-16,113.0
2024-10-17,113.5
2024-10-18,114.0
2024-10-19,114.5
2024-10-20,115.0
2024-10-21,115.5
2024-10-22,116.0
2024-10-23,116.5
2024-10-24,117.0
2024-10-25,117.5
2024-10-26,118.0
2024-10-27,118.5
2024-10-28,119.0
2024-10-29,119.5
2024-10-30,120.0
2024-10-31,120.5
2024-11-01,121.0
2024-11-02,121.5
2024-11-03,122.0
2024-11-04,122.5
2024-11-05,123.0
2024-11-06,123.5
2024-11-07,124.0
2024-11-08,124.5
2024-11-09,125.0
2024-11-10,125.5
2024-11-11,126.0
2024-11-12,126.5
2024-11-13,127.0
2024-11-14,127.5
2024-11-15,128.0
2024-11-16,128.5
2024-11-17,129.0
2024-11-18,129.5
2024-11-19,130.0
2024-11-20,130.5
2024-11-21,131.0
2024-11-22,131.5
2024-11-23,132.0
2024-11-24,132.5
2024-11-25,133.0
2024-11-26,133.5
2024-11-27,134.0
2024-11-28,134.5
2024-11-29,135.0
2024-11-30,135.5
2024-12-01,136.0
2024-12-02,136.5
2024-12-03,137.0
2024-12-04,137.5
2024-12-05,138.0
2024-12-06,138.5
2024-12-07,139.0
2024-12-08,139.5
2024-12-09,140.0
2024-12-10,140.5
2024-12-11,141.0
2024-12-12,141.5
2024-12-13,142.0
2024-12-14,142.5
2024-12-15,143.0
2024-12-16,143.5
2024-12-17,144.0
2024-12-18,144.5
2024-12-19,145.0
2024-12-20,145.5
2024-12-21,146.0
2024-12-22,146.5
2024-12-23,147.0
2024-12-24,147.5
2024-12-25,148.0
2024-12-26,148.5
2024-12-27,149.0
2024-12-28,149.5
2024-12-29,150.0
2024-12-30,150.5
2024-12-31,151.0
2025-01-01,151.5
2025-01-02,152.0
2025-01-03,152.5
2025-01-04,153.0
2025-01-05,153.5
2025-01-06,154.0
2025-01-07,154.5
2025-01-08,155.0
2025-01-09,155.5
2025-01-10,156.0
2025-01-11,156.5
2025-01-12,157.0
2025-01-13,157.5
2025-01-14,158.0
2025-01-15,158.5
2025-01-16,159.0
2025-01-17,159.5
2025-01-18,160.0
2025-01-19,160.5
2025-01-20,161.0
2025-01-21,161.5
2025-01-22,162.0
2025-01-23,162.5
2025-01-24,163.0
2025-01-25,163.5
2025-01-26,164.0
2025-01-27,164.5
2025-01-28,165.0
2025-01-29,165.5
2025-01-30,166.0
2025-01-31,166.5
2025-02-01,167.0
2025-02-02,167.5
2025-02-03,168.0
2025-02-04,168.5
2025-02-05,169.0
2025-02-06,169.5
2025-02-07,170.0
2025-02-08,170.5
2025-02-09,171.0
2025-02-10,171.5
2025-02-11,172.0
2025-02-12,172.5
