PeriodStart,Cost
2024-10-01,110.00000000000001
2024-10-02,110.00000000000001
2024-10-03,110.00000000000001
2024-10-04,110.00000000000001
2024-10-05,110.00000000000001
2024-10-06,110.00000000000001
2024-10-07,110.00000000000001
2024-10-08,110.00000000000001
2024-10-09,110.00000000000001
2024-10-10,110.00000000000001
2024-10-11,110.00000000000001
2024-10-12,110.00000000000001
2024-10-13,110.00000000000001
2024-10-14,110.00000000000001
2024-10-15,110.00000000000001
2024-10-16,110.00000000000001
2024-10-17,110.00000000000001
2024-10-18,110.00000000000001
2024-10-19,110.00000000000001
2024-10-20,110.00000000000001
2024-10-21,110.00000000000001
2024-10-22,110.00000000000001
2024-10-23,110.00000000000001
2024-10-24,110.00000000000001
2024-10-25,110.00000000000001
2024-10-26,110.00000000000001
2024-10-27,110.00000000000001
2024-10-28,110.00000000000001
2024-10-29,110.00000000000001
2024-10-30,110.00000000000001
2024-10-31,110.00000000000001
2024-11-01,130.0
2024-11-02,130.0
2024-11-03,130.0
2024-11-04,130.0
2024-11-05,130.0
2024-11-06,130.0
2024-11-07,130.0
2024-11-08,130.0
2024-11-09,130.0
2024-11-10,130.0
2024-11-11,130.0
2024-11-12,130.0
2024-11-13,130.0
2024-11-14,130.0
2024-11-15,130.0
2024-11-16,130.0
2024-11-17,130.0
2024-11-18,130.0
2024-11-19,130.0
2024-11-20,130.0
2024-11-21,130.0
2024-11-22,130.0
2024-11-23,130.0
2024-11-24,130.0
2024-11-25,130.0
2024-11-26,130.0
2024-11-27,130.0
2024-11-28,130.0
2024-11-29,130.0
2024-11-30,130.0
2024-12-01,140.0
2024-12-02,140.0
2024-12-03,140.0
2024-12-04,140.0
2024-12-05,140.0
2024-12-06,140.0
2024-12-07,140.0
2024-12-08,140.0
2024-12-09,140.0
2024-12-10,140.0
2024-12-11,140.0
2024-12-12,140.0
2024-12-13,140.0
2024-12-14,140.0
2024-12-15,140.0
2024-12-16,140.0
2024-12-17,140.0
2024-12-18,140.0
2024-12-19,140.0
2024-12-20,140.0
2024-12-21,140.0
2024-12-22,140.0
2024-12-23,140.0
2024-12-24,140.0
2024-12-25,140.0
2024-12-26,140.0
2024-12-27,140.0
2024-12-28,140.0
2024-12-29,140.0
