PeriodStart,Cost
2024-09-20,10.0
2024-09-21,10.5
2024-09-22,11.0
2024-09-23,11.5
2024-09-24,12.0
2024-09-25,12.5
2024-09-26,13.0
2024-09-27,13.5
2024-09-28,14.0
2024-09-29,14.5
2024-09-30,15.0
2024-10-01,15.5
2024-10-02,16.0
2024-10-03,16.5
2024-10-04,17.0
2024-10-05,17.5
2024-10-06,18.0
2024-10-07,18.5
2024-10-08,19.0
2024-10-09,19.5
2024-10-10,20.0
2024-10-11,20.5
2024-10-12,21.0
2024-10-13,21.5
2024-10-14,22.0
2024-10-15,22.5
2024-10-16,23.0
2024-10-17,23.5
2024-10-18,24.0
2024-10-19,24.5
2024-10-20,25.0
2024-10-21,25.5
2024-10-22,26.0
2024-10-23,26.5
2024-10-24,27.0
2024-10-25,27.5
2024-10-26,28.0
2024-10-27,28.5
2024-10-28,29.0
2024-10-29,29.5
2024-10-30,30.0
2024-10-31,30.5
2024-11-01,31.0
2024-11-02,31.5
2024-11-03,32.0
2024-11-04,32.5
2024-11-05,33.0
2024-11-06,33.5
2024-11-07,34.0
2024-11-08,34.5
2024-11-09,35.0
2024-11-10,35.5
2024-11-11,36.0
2024-11-12,36.5
2024-11-13,37.0
2024-11-14,37.5
2024-11-15,38.0
2024-11-16,38.5
2024-11-17,39.0
2024-11-18,39.5
2024-11-19,40.0
2024-11-20,40.5
2024-11-21,41.0
2024-11-22,41.5
2024-11-23,42.0
2024-11-24,42.5
2024-11-25,43.0
2024-11-26,43.5
2024-11-27,44.0
2024-11-28,44.5
2024-11-29,45.0
2024-11-30,45.5
2024-12-01,46.0
2024-12-02,46.5
2024-12-03,47.0
2024-12-04,47.5
2024-12-05,48.0
2024-12-06,48.5
2024-12-07,49.0
2024-12-08,49.5
2024-12-09,50.0
2024-12-10,50.5
2024-12-11,51.0
2024-12-12,51.5
2024-12-13,52.0
2024-12-14,52.5
2024-12-15,53.0
2024-12-16,53.5
2024-12-17,54.0
2024-12-18,54.5
2024-12-19,55.0
2024-12-20,55.5
2024-12-21,56.0
2024-12-22,56.5
2024-12-23,57.0
2024-12-24,57.5
2024-12-25,58.0
2024-12-26,58.5
2024-12-27,59.0
2024-12-28,59.5
2024-12-29,60.0
2024-12-30,60.5
2024-12-31,61.0
2025-01-01,61.5
2025-01-02,62.0
2025-01-03,62.5
2025-01-04,63.0
2025-01-05,63.5
2025-01-06,64.0
2025-01-07,64.5
2025-01-08,65.0
2025-01-09,65.5
2025-01-10,66.0
2025-01-11,66.5
2025-01-12,67.0
2025-01-13,67.5
2025-01-14,68.0
2025-01-15,68.5
2025-01-16,69.0
2025-01-17,69.5
2025-01-18,70.0
2025-01-19,70.5
2025-01-20,71.0
2025-01-21,71.5
2025-01-22,72.0
2025-01-23,72.5
2025-01-24,73.0
2025-01-25,73.5
2025-01-26,74.0
2025-01-27,74.5
2025-01-28,75.0
2025-01-29,75.5
2025-01-30,76.0
2025-01-31,76.5
2025-02-01,77.0
2025-02-02,77.5
2025-02-03,78.0
2025-02-04,78.5
2025-02-05,79.0
2025-02-06,79.5
2025-02-07,80.0
2025-02-08,80.5
2025-02-09,81.0
2025-02-10,81.5
2025-02-11,82.0
2025-02-12,82.5
2025-02-13,83.0
2025-02-14,83.5
2025-02-15,84.0
2025-02-16,84.5
2025-02-17,85.0
2025-02-18,85.5
2025-02-19,86.0
2025-02-20,86.5
2025-02-21,87.0
2025-02-22,87.5
2025-02-23,88.0
2025-02-24,88.5
2025-02-25,89.0
2025-02-26,89.5
2025-02-27,90.0
2025-02-28,90.5
2025-03-01,91.0
2025-03-02,91.5
2025-03-03,92.0
2025-03-04,92.5
