PeriodStart,Cost
2024-10-01,100.0
2024-10-02,100.5
2024-10-03,101.0
2024-10-04,101.5
2024-10-05,102.0
2024-10-06,102.5
2024-10-07,103.0
2024-10-08,103.5
2024-10-09,104.0
2024-10-10,104.5
2024-10-11,105.0
2024-10-12,105.5
2024-10-13,106.0
2024-10-14,106.5
2024-10-15,107.0
2024-10-16,107.5
2024-10-17,108.0
2024-10-18,108.5
2024-10-19,109.0
2024-10-20,109.5
2024-10-21,110.0
2024-10-22,110.5
2024-10-23,111.0
2024-10-24,111.5
2024-10-25,112.0
2024-10-26,112.5
2024-10-27,113.0
2024-10-28,113.5
2024-10-29,114.0
2024-10-30,114.5
2024-10-31,115.0
2024-11-01,115.5
2024-11-02,116.0
2024-11-03,116.5
2024-11-04,117.0
2024-11-05,117.5
2024-11-06,118.0
2024-11-07,118.5
2024-11-08,119.0
2024-11-09,119.5
2024-11-10,120.0
2024-11-11,120.5
2024-11-12,121.0
2024-11-13,121.5
2024-11-14,122.0
2024-11-15,122.5
2024-11-16,123.0
2024-11-17,123.5
2024-11-18,124.0
2024-11-19,124.5
2024-11-20,125.0
2024-11-21,125.5
2024-11-22,126.0
2024-11-23,126.5
2024-11-24,127.0
2024-11-25,127.5
2024-11-26,128.0
2024-11-27,128.5
2024-11-28,129.0
2024-11-29,129.5
2024-11-30,130.0
2024-12-01,130.5
2024-12-02,131.0
2024-12-03,131.5
2024-12-04,132.0
2024-12-05,132.5
2024-12-06,133.0
2024-12-07,133.5
2024-12-08,134.0
2024-12-09,134.5
2024-12-10,135.0
2024-12-11,135.5
2024-12-12,136.0
2024-12-13,136.5
2024-12-14,137.0
2024-12-15,137.5
2024-12-16,138.0
2024-12-17,138.5
2024-12-18,139.0
2024-12-19,139.5
2024-12-20,140.0
2024-12-21,140.5
2024-12-22,141.0
2024-12-23,141.5
2024-12-24,142.0
2024-12-25,142.5
2024-12-26,143.0
2024-12-27,143.5
2024-12-28,144.0
2024-12-29,144.5
2024-12-30,145.0
2024-12-31,145.5
2025-01-01,146.0
2025-01-02,146.5
2025-01-03,147.0
2025-01-04,147.5
2025-01-05,148.0
2025-01-06,148.5
2025-01-07,149.0
2025-01-08,149.5
2025-01-09,150.0
2025-01-10,150.5
2025-01-11,151.0
2025-01-12,151.5
2025-01-13,152.0
2025-01-14,152.5
2025-01-15,153.0
2025-01-16,153.5
2025-01-17,154.0
2025-01-18,154.5
2025-01-19,155.0
2025-01-20,155.5
2025-01-21,156.0
2025-01-22,156.5
2025-01-23,157.0
2025-01-24,157.5
2025-01-25,158.0
2025-01-26,158.5
2025-01-27,159.0
2025-01-28,159.5
2025-01-29,160.0
2025-01-30,160.5
2025-01-31,161.0
2025-02-01,161.5
2025-02-02,162.0
2025-02-03,162.5
2025-02-04,163.0
2025-02-05,163.5
2025-02-06,164.0
2025-02-07,164.5
2025-02-08,165.0
2025-02-09,165.5
2025-02-10,166.0
2025-02-11,166.5
2025-02-12,167.0
2025-02-13,167.5
2025-02-14,168.0
2025-02-15,168.5
2025-02-16,169.0
2025-02-17,169.5
2025-02-18,170.0
2025-02-19,170.5
2025-02-20,171.0
2025-02-21,171.5
2025-02-22,172.0
2025-02-23,172.5
2025-02-24,173.0
2025-02-25,173.5
2025-02-26,174.0
2025-02-27,174.5
2025-02-28,175.0
2025-03-01,175.5
2025-03-02,176.0
2025-03-03,176.5
2025-03-04,177.0
2025-03-05,177.5
2025-03-06,178.0
2025-03-07,178.5
2025-03-08,179.0
2025-03-09,179.5
2025-03-10,180.0
2025-03-11,180.5
2025-03-12,181.0
2025-03-13,181.5
2025-03-14,182.0
2025-03-15,182.5
2025-03-16,183.0
2025-03-17,183.5
2025-03-18,184.0
2025-03-19,184.5
2025-03-20,185.0
2025-03-21,185.5
2025-03-22,186.0
2025-03-23,186.5
2025-03-24,187.0
2025-03-25,187.5
2025-03-26,188.0
2025-03-27,188.5
2025-03-28,189.0
2025-03-29,189.5
2025-03-30,190.0
2025-03-31,190.5
2025-04-01,191.0
2025-04-02,191.5
2025-04-03,192.0
2025-04-04,192.5
2025-04-05,193.0
2025-04-06,193.5
2025-04-07,194.0
2025-04-08,194.5
2025-04-09,195.0
2025-04-10,195.5
2025-04-11,196.0
2025-04-12,196.5
2025-04-13,197.0
2025-04-14,197.5
2025-04-15,198.0
2025-04-16,198.5
2025-04-17,199.0
2025-04-18,199.5
2025-04-19,200.0
2025-04-20,200.5
2025-04-21,201.0
2025-04-22,201.5
2025-04-23,202.0
2025-04-24,202.5
2025-04-25,203.0
2025-04-26,203.5
2025-04-27,204.0
2025-04-28,204.5
2025-04-29,205.0
2025-04-30,205.5
2025-05-01,206.0
2025-05-02,206.5
2025-05-03,207.0
2025-05-04,207.5
2025-05-05,208.0
2025-05-06,208.5
2025-05-07,209.0
2025-05-08,209.5
2025-05-09,210.0
2025-05-10,210.5
2025-05-11,211.0
2025-05-12,211.5
2025-05-13,212.0
2025-05-14,212.5
2025-05-15,213.0
2025-05-16,213.5
2025-05-17,214.0
2025-05-18,214.5
2025-05-19,215.0
2025-05-20,215.5
2025-05-21,216.0
2025-05-22,216.5
2025-05-23,217.0
2025-05-24,217.5
2025-05-25,218.0
2025-05-26,218.5
2025-05-27,219.0
2025-05-28,219.5
2025-05-29,220.0
2025-05-30,220.5
2025-05-31,221.0
2025-06-01,221.5
2025-06-02,222.0
2025-06-03,222.5
2025-06-04,223.0
2025-06-05,223.5
2025-06-06,224.0
2025-06-07,224.5
2025-06-08,225.0
2025-06-09,225.5
2025-06-10,226.0
2025-06-11,226.5
2025-06-12,227.0
2025-06-13,227.5
2025-06-14,228.0
2025-06-15,228.5
2025-06-16,229.0
2025-06-17,229.5
2025-06-18,230.0
2025-06-19,230.5
2025-06-20,231.0
2025-06-21,231.5
2025-06-22,232.0
2025-06-23,232.5
2025-06-24,233.0
2025-06-25,233.5
2025-06-26,234.0
2025-06-27,234.5
2025-06-28,235.0
2025-06-29,235.5
2025-06-30,236.0
2025-07-01,236.5
2025-07-02,237.0
2025-07-03,237.5
2025-07-04,238.0
2025-07-05,238.5
2025-07-06,239.0
2025-07-07,239.5
2025-07-08,240.0
2025-07-09,240.5
2025-07-10,241.0
2025-07-11,241.5
2025-07-12,242.0
2025-07-13,242.5
2025-07-14,243.0
2025-07-15,243.5
2025-07-16,244.0
2025-07-17,244.5
2025-07-18,245.0
2025-07-19,245.5
2025-07-20,246.0
2025-07-21,246.5
2025-07-22,247.0
2025-07-23,247.5
2025-07-24,248.0
2025-07-25,248.5
2025-07-26,249.0
2025-07-27,249.5
2025-07-28,250.0
2025-07-29,250.5
2025-07-30,251.0
2025-07-31,251.5
2025-08-01,252.0
2025-08-02,252.5
2025-08-03,253.0
2025-08-04,253.5
2025-08-05,254.0
2025-08-06,254.5
2025-08-07,255.0
2025-08-08,255.5
2025-08-09,256.0
2025-08-10,256.5
2025-08-11,257.0
2025-08-12,257.5
2025-08-13,258.0
2025-08-14,258.5
2025-08-15,259.0
2025-08-16,259.5
2025-08-17,260.0
2025-08-18,260.5
2025-08-19,261.0
2025-08-20,261.5
2025-08-21,262.0
2025-08-22,262.5
2025-08-23,263.0
2025-08-24,263.5
2025-08-25,264.0
2025-08-26,264.5
2025-08-27,265.0
2025-08-28,265.5
2025-08-29,266.0
2025-08-30,266.5
2025-08-31,267.0
2025-09-01,267.5
2025-09-02,268.0
2025-09-03,268.5
2025-09-04,269.0
2025-09-05,269.5
2025-09-06,270.0
2025-09-07,270.5
2025-09-08,271.0
2025-09-09,271.5
2025-09-10,272.0
2025-09-11,272.5
2025-09-12,273.0
2025-09-13,273.5
2025-09-14,274.0
2025-09-15,274.5
2025-09-16,275.0
2025-09-17,275.5
2025-09-18,276.0
2025-09-19,276.5
2025-09-20,277.0
2025-09-21,277.5
2025-09-22,278.0
2025-09-23,278.5
2025-09-24,279.0
2025-09-25,279.5
2025-09-26,280.0
2025-09-27,280.5
2025-09-28,281.0
2025-09-29,281.5
2025-09-30,282.0
