PeriodStart,Cost
2024-10-01,103.0
2024-10-02,103.515
2024-10-03,104.03
2024-10-04,104.545
2024-10-05,105.06
2024-10-06,105.575
2024-10-07,106.09
2024-10-08,106.605
2024-10-09,107.12
2024-10-10,107.635
2024-10-11,108.15
2024-10-12,108.665
2024-10-13,109.18
2024-10-14,109.69500000000001
2024-10-15,110.21000000000001
2024-10-16,110.72500000000001
2024-10-17,111.24000000000001
2024-10-18,111.75500000000001
2024-10-19,112.27
2024-10-20,112.785
2024-10-21,113.3
2024-10-22,113.815
2024-10-23,114.33
2024-10-24,114.845
2024-10-25,115.36
2024-10-26,115.875
2024-10-27,116.39
2024-10-28,116.905
2024-10-29,117.42
2024-10-30,117.935
2024-10-31,118.45
2024-11-01,121.275
2024-11-02,121.80000000000001
2024-11-03,122.325
2024-11-04,122.85000000000001
2024-11-05,123.375
2024-11-06,123.9
2024-11-07,124.42500000000001
2024-11-08,124.95
2024-11-09,125.47500000000001
2024-11-10,126.0
2024-11-11,126.525
2024-11-12,127.05000000000001
2024-11-13,127.575
2024-11-14,128.1
2024-11-15,128.625
2024-11-16,129.15
2024-11-17,129.675
2024-11-18,130.20000000000002
2024-11-19,130.725
2024-11-20,131.25
2024-11-21,131.775
2024-11-22,132.3
2024-11-23,132.82500000000002
2024-11-24,133.35
2024-11-25,133.875
2024-11-26,134.4
2024-11-27,134.925
2024-11-28,135.45000000000002
2024-11-29,135.975
2024-11-30,136.5
2024-12-01,156.6
2024-12-02,157.2
2024-12-03,157.79999999999998
2024-12-04,158.4
2024-12-05,159.0
2024-12-06,159.6
2024-12-07,160.2
2024-12-08,160.79999999999998
2024-12-09,161.4
2024-12-10,162.0
2024-12-11,162.6
2024-12-12,163.2
2024-12-13,163.79999999999998
2024-12-14,164.4
2024-12-15,165.0
2024-12-16,165.6
2024-12-17,166.2
2024-12-18,166.79999999999998
2024-12-19,167.4
2024-12-20,168.0
2024-12-21,168.6
2024-12-22,169.2
2024-12-23,169.79999999999998
2024-12-24,170.4
2024-12-25,171.0
2024-12-26,171.6
2024-12-27,172.2
2024-12-28,172.79999999999998
2024-12-29,173.4
2024-12-30,174.0
2024-12-31,174.6
2025-01-01,146.0
2025-01-02,146.5
2025-01-03,147.0
2025-01-04,147.5
2025-01-05,148.0
2025-01-06,148.5
2025-01-07,149.0
2025-01-08,149.5
2025-01-09,150.0
2025-01-10,150.5
2025-01-11,151.0
2025-01-12,151.5
2025-01-13,152.0
2025-01-14,152.5
2025-01-15,153.0
2025-01-16,153.5
2025-01-17,154.0
2025-01-18,154.5
2025-01-19,155.0
2025-01-20,155.5
2025-01-21,156.0
2025-01-22,156.5
2025-01-23,157.0
2025-01-24,157.5
2025-01-25,158.0
2025-01-26,158.5
2025-01-27,159.0
2025-01-28,159.5
2025-01-29,160.0
2025-01-30,160.5
2025-01-31,161.0
2025-02-01,174.42000000000002
2025-02-02,174.96
2025-02-03,175.5
2025-02-04,176.04000000000002
2025-02-05,176.58
2025-02-06,177.12
2025-02-07,177.66000000000003
2025-02-08,178.20000000000002
2025-02-09,178.74
2025-02-10,179.28
2025-02-11,179.82000000000002
2025-02-12,180.36
2025-02-13,180.9
2025-02-14,181.44
2025-02-15,181.98000000000002
2025-02-16,182.52
2025-02-17,183.06
2025-02-18,183.60000000000002
2025-02-19,184.14000000000001
2025-02-20,184.68
2025-02-21,185.22
2025-02-22,185.76000000000002
2025-02-23,186.3
2025-02-24,186.84
2025-02-25,187.38000000000002
2025-02-26,187.92000000000002
2025-02-27,188.46
2025-02-28,189.0
2025-03-01,175.5
2025-03-02,176.0
2025-03-03,176.5
2025-03-04,177.0
2025-03-05,177.5
2025-03-06,178.0
2025-03-07,178.5
2025-03-08,179.0
2025-03-09,179.5
2025-03-10,180.0
2025-03-11,180.5
2025-03-12,181.0
2025-03-13,181.5
2025-03-14,182.0
2025-03-15,182.5
2025-03-16,183.0
2025-03-17,183.5
2025-03-18,184.0
2025-03-19,184.5
2025-03-20,185.0
2025-03-21,185.5
2025-03-22,186.0
2025-03-23,186.5
2025-03-24,187.0
2025-03-25,187.5
2025-03-26,188.0
2025-03-27,188.5
2025-03-28,189.0
2025-03-29,189.5
2025-03-30,190.0
2025-03-31,190.5
2025-04-01,187.18
2025-04-02,187.67
2025-04-03,188.16
2025-04-04,188.65
2025-04-05,189.14
2025-04-06,189.63
2025-04-07,190.12
2025-04-08,190.60999999999999
2025-04-09,191.1
2025-04-10,191.59
2025-04-11,192.07999999999998
2025-04-12,192.57
2025-04-13,193.06
2025-04-14,193.54999999999998
2025-04-15,194.04
2025-04-16,194.53
2025-04-17,195.02
2025-04-18,195.51
2025-04-19,196.0
2025-04-20,196.49
2025-04-21,196.98
2025-04-22,197.47
2025-04-23,197.96
2025-04-24,198.45
2025-04-25,198.94
2025-04-26,199.43
2025-04-27,199.92
2025-04-28,200.41
2025-04-29,200.9
2025-04-30,201.39
2025-05-01,199.82
2025-05-02,200.305
2025-05-03,200.79
2025-05-04,201.275
2025-05-05,201.76
2025-05-06,202.245
2025-05-07,202.73
2025-05-08,203.215
2025-05-09,203.7
2025-05-10,204.185
2025-05-11,204.67
2025-05-12,205.155
2025-05-13,205.64
2025-05-14,206.125
2025-05-15,206.60999999999999
2025-05-16,207.095
2025-05-17,207.57999999999998
2025-05-18,208.065
2025-05-19,208.54999999999998
2025-05-20,209.035
2025-05-21,209.51999999999998
2025-05-22,210.005
2025-05-23,210.48999999999998
2025-05-24,210.975
2025-05-25,211.46
