PeriodStart,Cost
2024-10-01,110.00000000000001
2024-10-02,110.55000000000001
2024-10-03,111.10000000000001
2024-10-04,111.65
2024-10-05,112.2
2024-10-06,112.75000000000001
2024-10-07,113.30000000000001
2024-10-08,113.85000000000001
2024-10-09,114.4
2024-10-10,114.95
2024-10-11,115.50000000000001
2024-10-12,116.05000000000001
2024-10-13,116.60000000000001
2024-10-14,117.15
2024-10-15,117.7
2024-10-16,118.25000000000001
2024-10-17,118.80000000000001
2024-10-18,119.35000000000001
2024-10-19,119.9
2024-10-20,120.45
2024-10-21,121.00000000000001
2024-10-22,121.55000000000001
2024-10-23,122.10000000000001
2024-10-24,122.65
2024-10-25,123.20000000000002
2024-10-26,123.75000000000001
2024-10-27,124.30000000000001
2024-10-28,124.85000000000001
2024-10-29,125.4
2024-10-30,125.95000000000002
2024-10-31,126.50000000000001
2024-11-01,150.15
2024-11-02,150.8
2024-11-03,151.45000000000002
2024-11-04,152.1
2024-11-05,152.75
2024-11-06,153.4
2024-11-07,154.05
2024-11-08,154.70000000000002
2024-11-09,155.35
2024-11-10,156.0
2024-11-11,156.65
2024-11-12,157.3
2024-11-13,157.95000000000002
2024-11-14,158.6
2024-11-15,159.25
2024-11-16,159.9
2024-11-17,160.55
2024-11-18,161.20000000000002
2024-11-19,161.85
2024-11-20,162.5
2024-11-21,163.15
2024-11-22,163.8
2024-11-23,164.45000000000002
2024-11-24,165.1
2024-11-25,165.75
2024-11-26,166.4
2024-11-27,167.05
2024-11-28,167.70000000000002
2024-11-29,168.35
2024-11-30,169.0
2024-12-01,182.7
2024-12-02,183.39999999999998
2024-12-03,184.1
2024-12-04,184.79999999999998
2024-12-05,185.5
2024-12-06,186.2
2024-12-07,186.89999999999998
2024-12-08,187.6
2024-12-09,188.29999999999998
2024-12-10,189.0
2024-12-11,189.7
2024-12-12,190.39999999999998
2024-12-13,191.1
2024-12-14,191.79999999999998
2024-12-15,192.5
2024-12-16,193.2
2024-12-17,193.89999999999998
2024-12-18,194.6
2024-12-19,195.29999999999998
2024-12-20,196.0
2024-12-21,196.7
2024-12-22,197.39999999999998
2024-12-23,198.1
2024-12-24,198.79999999999998
2024-12-25,199.5
2024-12-26,200.2
2024-12-27,200.89999999999998
2024-12-28,201.6
2024-12-29,202.29999999999998
2024-12-30,203.0
2024-12-31,203.7
2025-01-01,138.7
2025-01-02,139.17499999999998
2025-01-03,139.65
2025-01-04,140.125
2025-01-05,140.6
2025-01-06,141.075
2025-01-07,141.54999999999998
2025-01-08,142.025
2025-01-09,142.5
2025-01-10,142.975
2025-01-11,143.45
2025-01-12,143.92499999999998
2025-01-13,144.4
2025-01-14,144.875
2025-01-15,145.35
2025-01-16,145.825
2025-01-17,146.29999999999998
2025-01-18,146.775
2025-01-19,147.25
2025-01-20,147.725
2025-01-21,148.2
2025-01-22,148.67499999999998
2025-01-23,149.15
2025-01-24,149.625
2025-01-25,150.1
