PeriodStart,Cost,sma,es,hw,arima,sarima,theta,prophet,neural_prophet,darts,ensemble
2024-09-20,10.0,,,,,,,,,,
2024-09-21,10.0,,,,,,,,,,
2024-09-22,10.0,,,,,,,,,,
2024-09-23,10.0,,,,,,,,,,
2024-09-24,10.0,,,,,,,,,,
2024-09-25,10.0,,,,,,,,,,
2024-09-26,10.0,,,,,,,,,,
2024-09-27,10.0,,,,,,,,,,
2024-09-28,10.0,,,,,,,,,,
2024-09-29,10.0,,,,,,,,,,
2024-09-30,10.0,,,,,,,,,,
2024-10-01,10.0,,,,,,,,,,
2024-10-02,10.0,,,,,,,,,,
2024-10-03,10.0,,,,,,,,,,
2024-10-04,10.0,,,,,,,,,,
2024-10-05,10.0,,,,,,,,,,
2024-10-06,10.0,,,,,,,,,,
2024-10-07,10.0,,,,,,,,,,
2024-10-08,10.0,,,,,,,,,,
2024-10-09,10.0,,,,,,,,,,
2024-10-10,10.0,,,,,,,,,,
2024-10-11,10.0,,,,,,,,,,
2024-10-12,10.0,,,,,,,,,,
2024-10-13,10.0,,,,,,,,,,
2024-10-14,10.0,,,,,,,,,,
2024-10-15,10.0,,,,,,,,,,
2024-10-16,10.0,,,,,,,,,,
2024-10-17,10.588257999969224,,,,,,,,,,
2024-10-18,10.0,,,,,,,,,,
2024-10-19,10.0,,,,,,,,,,
2024-10-20,10.0,,,,,,,,,,
2024-10-21,10.0,,,,,,,,,,
2024-10-22,10.0,,,,,,,,,,
2024-10-23,10.0,,,,,,,,,,
2024-10-24,10.0,,,,,,,,,,
2024-10-25,10.0,,,,,,,,,,
2024-10-26,10.0,,,,,,,,,,
2024-10-27,10.0,,,,,,,,,,
2024-10-28,10.0,,,,,,,,,,
2024-10-29,10.0,,,,,,,,,,
2024-10-30,10.0,,,,,,,,,,
2024-10-31,10.0,,,,,,,,,,
2024-11-01,10.0,,,,,,,,,,
2024-11-02,10.0,,,,,,,,,,
2024-11-03,10.0,,,,,,,,,,
2024-11-04,10.0,,,,,,,,,,
2024-11-05,10.0,,,,,,,,,,
2024-11-06,10.0,,,,,,,,,,
2024-11-07,10.0,,,,,,,,,,
2024-11-08,10.0,,,,,,,,,,
2024-11-09,10.0,,,,,,,,,,
2024-11-10,10.143021875166635,,,,,,,,,,
2024-11-11,10.0,,,,,,,,,,
2024-11-12,10.0,,,,,,,,,,
2024-11-13,10.0,,,,,,,,,,
2024-11-14,10.0,,,,,,,,,,
2024-11-15,10.0,,,,,,,,,,
2024-11-16,10.0,,,,,,,,,,
2024-11-17,10.0,,,,,,,,,,
2024-11-18,10.0,,,,,,,,,,
2024-11-19,10.0,,,,,,,,,,
