PeriodStart,Cost,sma,es,hw,arima,sarima,theta,prophet,neural_prophet,darts,ensemble
2024-10-01,110.0,,,,,,,,,,
2024-10-02,110.0,,,,,,,,,,
2024-10-03,110.0,,,,,,,,,,
2024-10-04,110.0,,,,,,,,,,
2024-10-05,110.0,,,,,,,,,,
2024-10-06,110.0,,,,,,,,,,
2024-10-07,110.0,,,,,,,,,,
2024-10-08,110.0,,,,,,,,,,
2024-10-09,110.0,,,,,,,,,,
2024-10-10,110.0,,,,,,,,,,
2024-10-11,110.0,,,,,,,,,,
2024-10-12,110.0,,,,,,,,,,
2024-10-13,110.0,,,,,,,,,,
2024-10-14,110.0,,,,,,,,,,
2024-10-15,110.0,,,,,,,,,,
2024-10-16,110.0,,,,,,,,,,
2024-10-17,110.0,,,,,,,,,,
2024-10-18,110.0,,,,,,,,,,
2024-10-19,110.0,,,,,,,,,,
2024-10-20,110.0,,,,,,,,,,
2024-10-21,110.0,,,,,,,,,,
2024-10-22,110.0,,,,,,,,,,
2024-10-23,110.0,,,,,,,,,,
2024-10-24,110.0,,,,,,,,,,
2024-10-25,110.0,,,,,,,,,,
2024-10-26,110.0,,,,,,,,,,
2024-10-27,110.0,,,,,,,,,,
2024-10-28,110.0,,,,,,,,,,
2024-10-29,110.0,,,,,,,,,,
2024-10-30,110.0,,,,,,,,,,
2024-10-31,110.0,,,,,,,,,,
2024-11-01,130.0,,,,,,,,,,
2024-11-02,130.0,,,,,,,,,,
2024-11-03,130.0,,,,,,,,,,
2024-11-04,130.0,,,,,,,,,,
2024-11-05,130.0,,,,,,,,,,
2024-11-06,130.0,,,,,,,,,,
2024-11-07,130.0,,,,,,,,,,
2024-11-08,130.0,,,,,,,,,,
2024-11-09,130.0,,,,,,,,,,
2024-11-10,130.0,,,,,,,,,,
2024-11-11,130.0,,,,,,,,,,
2024-11-12,130.0,,,,,,,,,,
2024-11-13,130.0,,,,,,,,,,
2024-11-14,130.0,,,,,,,,,,
2024-11-15,130.0,,,,,,,,,,
2024-11-16,130.0,,,,,,,,,,
2024-11-17,130.0,,,,,,,,,,
2024-11-18,130.0,,,,,,,,,,
2024-11-19,130.0,,,,,,,,,,
2024-11-20,130.0,,,,,,,,,,
2024-11-21,130.0,,,,,,,,,,
2024-11-22,130.0,,,,,,,,,,
2024-11-23,130.0,,,,,,,,,,
2024-11-24,130.0,,,,,,,,,,
2024-11-25,130.0,,,,,,,,,,
2024-11-26,130.0,,,,,,,,,,
2024-11-27,130.0,,,,,,,,,,
2024-11-28,130.0,,,,,,,,,,
2024-11-29,130.0,,,,,,,,,,
2024-11-30,130.0,,,,,,,,,,
2024-12-01,140.0,,,,,,,,,,
2024-12-02,140.0,,,,,,,,,,
2024-12-03,140.0,,,,,,,,,,
2024-12-04,140.0,,,,,,,,,,
2024-12-05,140.0,,,,,,,,,,
2024-12-06,140.0,,,,,,,,,,
2024-12-07,140.0,,,,,,,,,,
2024-12-08,140.0,,,,,,,,,,
2024-12-09,140.0,,,,,,,,,,
2024-12-10,140.0,,,,,,,,,,
2024-12-11,140.0,,,,,,,,,,
2024-12-12,140.0,,,,,,,,,,
2024-12-13,140.0,,,,,,,,,,
2024-12-14,140.0,,,,,,,,,,
2024-12-15,140.0,,,,,,,,,,
2024-12-16,140.0,,,,,,,,,,
2024-12-17,140.0,,,,,,,,,,
2024-12-18,140.0,,,,,,,,,,
2024-12-19,140.0,,,,,,,,,,
2024-12-20,140.0,,,,,,,,,,
2024-12-21,140.0,,,,,,,,,,
2024-12-22,140.0,,,,,,,,,,
2024-12-23,140.0,,,,,,,,,,
2024-12-24,140.0,,,,,,,,,,
2024-12-25,140.0,,,,,,,,,,
2024-12-26,140.0,,,,,,,,,,
2024-12-27,140.0,,,,,,,,,,
2024-12-28,140.0,,,,,,,,,,
2024-12-29,140.0,,,,,,,,,,
2024-12-30,140.0,,,,,,,,,,
2024-12-31,140.0,,,,,,,,,,
2025-01-01,95.0,,,,,,,,,,
2025-01-02,95.0,,,,,,,,,,
2025-01-03,95.0,,,,,,,,,,
2025-01-04,95.0,,,,,,,,,,
2025-01-05,95.0,,,,,,,,,,
2025-01-06,95.0,,,,,,,,,,
2025-01-07,95.0,,,,,,,,,,
2025-01-08,95.0,,,,,,,,,,
2025-01-09,95.0,,,,,,,,,,
2025-01-10,95.0,,,,,,,,,,
2025-01-11,95.0,,,,,,,,,,
2025-01-12,95.0,,,,,,,,,,
2025-01-13,95.0,,,,,,,,,,
2025-01-14,95.0,,,,,,,,,,
2025-01-15,95.0,,,,,,,,,,
2025-01-16,95.0,,,,,,,,,,
2025-01-17,95.0,,,,,,,,,,
2025-01-18,95.0,,,,,,,,,,
2025-01-19,95.0,,,,,,,,,,
2025-01-20,95.0,,,,,,,,,,
2025-01-21,95.0,,,,,,,,,,
2025-01-22,95.0,,,,,,,,,,
2025-01-23,95.0,,,,,,,,,,
2025-01-24,95.0,,,,,,,,,,
2025-01-25,95.0,,,,,,,,,,
2025-01-26,95.0,,,,,,,,,,
2025-01-27,95.0,,,,,,,,,,
2025-01-28,95.0,,,,,,,,,,
2025-01-29,95.0,,,,,,,,,,
2025-01-30,95.0,,,,,,,,,,
2025-01-31,95.0,,,,,,,,,,
2025-02-01,95.0,,,,,,,,,,
2025-02-02,95.0,,,,,,,,,,
2025-02-03,95.0,,,,,,,,,,
2025-02-04,95.0,,,,,,,,,,
