PeriodStart,Cost,sma,es,hw,arima,sarima,theta,prophet,neural_prophet,darts,ensemble
2024-09-20,10.0,,,,,,,,,,
2024-09-21,10.5,,,,,,,,,,
2024-09-22,11.0,,,,,,,,,,
2024-09-23,11.5,,,,,,,,,,
2024-09-24,12.0,,,,,,,,,,
2024-09-25,12.5,,,,,,,,,,
2024-09-26,13.0,,,,,,,,,,
2024-09-27,13.5,,,,,,,,,,
2024-09-28,14.0,,,,,,,,,,
2024-09-29,14.5,,,,,,,,,,
2024-09-30,15.0,,,,,,,,,,
2024-10-01,15.5,,,,,,,,,,
2024-10-02,16.0,,,,,,,,,,
2024-10-03,16.5,,,,,,,,,,
2024-10-04,17.0,,,,,,,,,,
2024-10-05,17.5,,,,,,,,,,
2024-10-06,18.0,,,,,,,,,,
2024-10-07,18.5,,,,,,,,,,
2024-10-08,19.0,,,,,,,,,,
2024-10-09,19.5,,,,,,,,,,
2024-10-10,20.0,,,,,,,,,,
2024-10-11,20.5,,,,,,,,,,
2024-10-12,21.0,,,,,,,,,,
2024-10-13,21.5,,,,,,,,,,
2024-10-14,22.0,,,,,,,,,,
2024-10-15,22.5,,,,,,,,,,
2024-10-16,23.0,,,,,,,,,,
2024-10-17,23.5,,,,,,,,,,
2024-10-18,24.0,,,,,,,,,,
2024-10-19,24.5,,,,,,,,,,
2024-10-20,25.0,,,,,,,,,,
2024-10-21,25.5,,,,,,,,,,
2024-10-22,26.0,,,,,,,,,,
2024-10-23,26.5,,,,,,,,,,
2024-10-24,27.0,,,,,,,,,,
2024-10-25,27.5,,,,,,,,,,
2024-10-26,28.0,,,,,,,,,,
2024-10-27,28.5,,,,,,,,,,
2024-10-28,29.0,,,,,,,,,,
2024-10-29,29.5,,,,,,,,,,
2024-10-30,30.0,,,,,,,,,,
2024-10-31,30.5,,,,,,,,,,
2024-11-01,31.0,,,,,,,,,,
2024-11-02,31.5,,,,,,,,,,
2024-11-03,32.0,,,,,,,,,,
2024-11-04,32.5,,,,,,,,,,
2024-11-05,33.0,,,,,,,,,,
2024-11-06,33.5,,,,,,,,,,
2024-11-07,34.0,,,,,,,,,,
2024-11-08,34.5,,,,,,,,,,
2024-11-09,35.0,,,,,,,,,,
2024-11-10,35.5,,,,,,,,,,
2024-11-11,36.0,,,,,,,,,,
2024-11-12,36.5,,,,,,,,,,
2024-11-13,37.0,,,,,,,,,,
2024-11-14,37.5,,,,,,,,,,
2024-11-15,38.0,,,,,,,,,,
2024-11-16,38.5,,,,,,,,,,
2024-11-17,39.0,,,,,,,,,,
2024-11-18,39.5,,,,,,,,,,
2024-11-19,40.0,,,,,,,,,,
2024-11-20,40.5,,,,,,,,,,
2024-11-21,41.0,,,,,,,,,,
2024-11-22,41.5,,,,,,,,,,
2024-11-23,42.0,,,,,,,,,,
2024-11-24,42.5,,,,,,,,,,
2024-11-25,43.0,,,,,,,,,,
2024-11-26,43.5,,,,,,,,,,
2024-11-27,44.0,,,,,,,,,,
2024-11-28,44.5,,,,,,,,,,
2024-11-29,45.0,,,,,,,,,,
2024-11-30,45.5,,,,,,,,,,
2024-12-01,46.0,,,,,,,,,,
2024-12-02,46.5,,,,,,,,,,
2024-12-03,47.0,,,,,,,,,,
2024-12-04,47.5,,,,,,,,,,
2024-12-05,48.0,,,,,,,,,,
2024-12-06,48.5,,,,,,,,,,
2024-12-07,49.0,,,,,,,,,,
2024-12-08,49.5,,,,,,,,,,
2024-12-09,50.0,,,,,,,,,,
2024-12-10,50.5,,,,,,,,,,
2024-12-11,51.0,,,,,,,,,,
2024-12-12,51.5,,,,,,,,,,
2024-12-13,52.0,,,,,,,,,,
