PeriodStart,Cost,sma,es,hw,arima,sarima,theta,prophet,neural_prophet,darts,ensemble
2024-09-20,100.0,,,,,,,,,,
2024-09-21,100.5,,,,,,,,,,
2024-09-22,101.0,,,,,,,,,,
2024-09-23,101.5,,,,,,,,,,
2024-09-24,132.2390179841893,,,,,,,,,,
2024-09-25,102.5,,,,,,,,,,
2024-09-26,103.0,,,,,,,,,,
2024-09-27,103.5,,,,,,,,,,
2024-09-28,114.79158012061028,,,,,,,,,,
2024-09-29,104.5,,,,,,,,,,
2024-09-30,105.0,,,,,,,,,,
2024-10-01,105.5,,,,,,,,,,
2024-10-02,106.0,,,,,,,,,,
2024-10-03,106.5,,,,,,,,,,
2024-10-04,107.0,,,,,,,,,,
2024-10-05,107.5,,,,,,,,,,
2024-10-06,108.0,,,,,,,,,,
2024-10-07,136.4386949894258,,,,,,,,,,
2024-10-08,109.0,,,,,,,,,,
2024-10-09,109.5,,,,,,,,,,
2024-10-10,110.0,,,,,,,,,,
2024-10-11,110.5,,,,,,,,,,
2024-10-12,111.0,,,,,,,,,,
2024-10-13,111.5,,,,,,,,,,
2024-10-14,112.0,,,,,,,,,,
2024-10-15,112.5,,,,,,,,,,
2024-10-16,113.0,,,,,,,,,,
2024-10-17,135.53320338884717,,,,,,,,,,
2024-10-18,114.0,,,,,,,,,,
2024-10-19,114.5,,,,,,,,,,
2024-10-20,115.0,,,,,,,,,,
2024-10-21,115.5,,,,,,,,,,
2024-10-22,116.0,,,,,,,,,,
2024-10-23,116.5,,,,,,,,,,
2024-10-24,117.0,,,,,,,,,,
2024-10-25,117.5,,,,,,,,,,
2024-10-26,153.76412741137568,,,,,,,,,,
2024-10-27,118.5,,,,,,,,,,
2024-10-28,119.0,,,,,,,,,,
2024-10-29,119.5,,,,,,,,,,
2024-10-30,120.0,,,,,,,,,,
2024-10-31,120.5,,,,,,,,,,
2024-11-01,121.0,,,,,,,,,,
2024-11-02,121.5,,,,,,,,,,
2024-11-03,122.0,,,,,,,,,,
2024-11-04,122.5,,,,,,,,,,
2024-11-05,123.0,,,,,,,,,,
2024-11-06,123.5,,,,,,,,,,
2024-11-07,124.0,,,,,,,,,,
2024-11-08,125.69144458915564,,,,,,,,,,
2024-11-09,125.0,,,,,,,,,,
2024-11-10,131.4232509600262,,,,,,,,,,
2024-11-11,126.0,,,,,,,,,,
2024-11-12,126.5,,,,,,,,,,
2024-11-13,127.0,,,,,,,,,,
2024-11-14,127.5,,,,,,,,,,
2024-11-15,128.0,,,,,,,,,,
2024-11-16,128.5,,,,,,,,,,
2024-11-17,131.19907752730296,,,,,,,,,,
2024-11-18,155.39421246677566,,,,,,,,,,
2024-11-19,130.0,,,,,,,,,,
2024-11-20,130.5,,,,,,,,,,
2024-11-21,131.0,,,,,,,,,,
2024-11-22,131.5,,,,,,,,,,
2024-11-23,132.0,,,,,,,,,,
2024-11-24,132.5,,,,,,,,,,
2024-11-25,133.0,,,,,,,,,,
2024-11-26,133.5,,,,,,,,,,
2024-11-27,171.05548526894106,,,,,,,,,,
2024-11-28,134.5,,,,,,,,,,
2024-11-29,135.0,,,,,,,,,,
2024-11-30,135.5,,,,,,,,,,
