PeriodStart,Cost,sma,es,hw,arima,sarima,theta,prophet,neural_prophet,darts,ensemble
2024-10-01,110.0,,,,,,,,,,
2024-10-02,110.55,,,,,,,,,,
2024-10-03,111.1,,,,,,,,,,
2024-10-04,111.65,,,,,,,,,,
2024-10-05,112.2,,,,,,,,,,
2024-10-06,112.75,,,,,,,,,,
2024-10-07,113.3,,,,,,,,,,
2024-10-08,113.85,,,,,,,,,,
2024-10-09,114.4,,,,,,,,,,
2024-10-10,114.95,,,,,,,,,,
2024-10-11,115.5,,,,,,,,,,
2024-10-12,116.05,,,,,,,,,,
2024-10-13,116.6,,,,,,,,,,
2024-10-14,117.15,,,,,,,,,,
2024-10-15,117.7,,,,,,,,,,
2024-10-16,118.25,,,,,,,,,,
2024-10-17,118.8,,,,,,,,,,
2024-10-18,119.35,,,,,,,,,,
2024-10-19,119.9,,,,,,,,,,
2024-10-20,120.45,,,,,,,,,,
2024-10-21,121.0,,,,,,,,,,
2024-10-22,121.55,,,,,,,,,,
2024-10-23,122.1,,,,,,,,,,
2024-10-24,122.65,,,,,,,,,,
2024-10-25,123.20000000000002,,,,,,,,,,
2024-10-26,123.75,,,,,,,,,,
2024-10-27,124.3,,,,,,,,,,
2024-10-28,124.85,,,,,,,,,,
2024-10-29,125.4,,,,,,,,,,
2024-10-30,125.95000000000002,,,,,,,,,,
2024-10-31,126.5,,,,,,,,,,
2024-11-01,150.15,,,,,,,,,,
2024-11-02,150.8,,,,,,,,,,
2024-11-03,151.45000000000002,,,,,,,,,,
2024-11-04,152.1,,,,,,,,,,
2024-11-05,152.75,,,,,,,,,,
2024-11-06,153.4,,,,,,,,,,
2024-11-07,154.05,,,,,,,,,,
2024-11-08,154.70000000000002,,,,,,,,,,
2024-11-09,155.35,,,,,,,,,,
2024-11-10,156.0,,,,,,,,,,
2024-11-11,156.65,,,,,,,,,,
2024-11-12,157.3,,,,,,,,,,
2024-11-13,157.95000000000002,,,,,,,,,,
2024-11-14,158.6,,,,,,,,,,
2024-11-15,159.25,,,,,,,,,,
2024-11-16,159.9,,,,,,,,,,
2024-11-17,160.55,,,,,,,,,,
2024-11-18,161.20000000000002,,,,,,,,,,
2024-11-19,161.85,,,,,,,,,,
2024-11-20,162.5,,,,,,,,,,
2024-11-21,163.15,,,,,,,,,,
2024-11-22,163.8,,,,,,,,,,
